shop_id,item_id,y_true,prediction,abs_error,reason
2,10201,20.0,0.027987966,19.972012,high_validation_error
22,7224,20.0,0.038246047,19.961754,high_validation_error
42,1586,20.0,0.087764114,19.912235,high_validation_error
42,20386,20.0,0.5070142,19.492987,high_validation_error
47,13247,16.0,0.033027735,15.966972,high_validation_error
14,7223,14.0,0.031021347,13.968979,high_validation_error
57,10202,14.0,0.039106157,13.960894,high_validation_error
41,10201,13.0,0.029400509,12.970599,high_validation_error
25,2431,13.0,0.4910478,12.508952,high_validation_error
55,16251,20.0,7.5153904,12.48461,high_validation_error
25,15069,20.0,8.362223,11.637777,high_validation_error
47,5675,20.0,8.463265,11.536735,high_validation_error
10,10202,11.0,0.025563955,10.974436,high_validation_error
42,17772,11.0,0.087764114,10.912236,high_validation_error
42,1971,14.0,3.4150302,10.5849695,high_validation_error
34,1583,10.0,0.026332106,9.973668,high_validation_error
52,14839,11.0,1.4335902,9.56641,high_validation_error
31,4181,20.0,11.519211,8.480789,high_validation_error
26,15069,12.0,3.582345,8.417655,high_validation_error
25,19657,8.0,0.1042189,7.895781,high_validation_error
19,10200,8.0,0.11705061,7.8829494,high_validation_error
31,10659,13.0,5.1546597,7.8453403,high_validation_error
55,69,12.0,4.811758,7.188242,high_validation_error
49,10202,7.0,0.023684151,6.976316,high_validation_error
18,2423,8.0,1.16423,6.83577,high_validation_error
28,15069,10.0,3.473178,6.526822,high_validation_error
55,1793,7.0,0.48776978,6.5122304,high_validation_error
44,22088,15.0,8.585391,6.414609,high_validation_error
53,4719,1.0,7.247489,6.247489,high_validation_error
12,13246,7.0,1.0060093,5.993991,high_validation_error
24,1586,6.0,0.032661375,5.9673386,high_validation_error
47,17775,6.0,0.033027735,5.9669724,high_validation_error
19,13241,6.0,0.034929067,5.9650707,high_validation_error
25,13331,8.0,2.3085682,5.691432,high_validation_error
24,2283,8.0,2.3402848,5.659715,high_validation_error
22,7172,1.0,6.456799,5.456799,high_validation_error
42,3444,1.0,6.2567163,5.2567163,high_validation_error
55,4720,5.0,10.224982,5.2249823,high_validation_error
59,2308,10.0,4.9207964,5.0792036,high_validation_error
25,14400,7.0,1.9511528,5.048847,high_validation_error
5,11703,5.0,0.02712449,4.9728756,high_validation_error
45,13247,5.0,0.027875138,4.972125,high_validation_error
21,21811,5.0,0.03070396,4.969296,high_validation_error
28,13247,5.0,0.07125538,4.928745,high_validation_error
31,14844,0.0,4.9227257,4.9227257,high_validation_error
22,10200,5.0,0.22292644,4.7770734,high_validation_error
55,10588,6.0,1.2920169,4.707983,high_validation_error
55,803,7.0,2.4566438,4.543356,high_validation_error
38,5041,2.0,6.2032313,4.2032313,high_validation_error
39,15069,5.0,0.8026114,4.1973886,high_validation_error
16,2422,5.0,0.89329404,4.106706,high_validation_error
38,17775,4.0,0.032024637,3.9679754,high_validation_error
28,21449,4.0,0.07125538,3.9287446,high_validation_error
28,7231,4.0,0.07125538,3.9287446,high_validation_error
42,12023,4.0,0.087764114,3.912236,high_validation_error
25,12688,4.0,0.1042189,3.895781,high_validation_error
5,5675,7.0,3.1142402,3.8857598,high_validation_error
38,5827,0.0,3.8591309,3.8591309,high_validation_error
31,8766,5.0,1.1490165,3.8509836,high_validation_error
58,17409,4.0,0.16280422,3.8371959,high_validation_error
47,6503,3.0,6.8367314,3.8367314,high_validation_error
59,4181,7.0,3.1892798,3.8107202,high_validation_error
16,13452,4.0,0.19103287,3.808967,high_validation_error
31,15239,5.0,1.1921154,3.8078847,high_validation_error
12,13216,4.0,0.3128526,3.6871474,high_validation_error
38,15511,4.0,0.32249823,3.6775017,high_validation_error
53,3343,0.0,3.6646082,3.6646082,high_validation_error
16,15256,6.0,2.344497,3.655503,high_validation_error
46,13212,4.0,0.4067532,3.5932467,high_validation_error
15,4840,1.0,4.5755067,3.5755067,high_validation_error
42,14956,5.0,1.4854949,3.5145051,high_validation_error
14,3341,1.0,4.4680433,3.4680433,high_validation_error
31,11056,6.0,2.5395343,3.4604657,high_validation_error
31,17595,4.0,0.5758524,3.4241476,high_validation_error
31,13339,5.0,1.6325146,3.3674855,high_validation_error
15,22087,4.0,0.6505905,3.3494096,high_validation_error
47,16205,4.0,0.67297405,3.327026,high_validation_error
25,16170,4.0,0.73833805,3.261662,high_validation_error
28,4242,4.0,0.7532292,3.2467709,high_validation_error
22,687,4.0,0.8697449,3.1302552,high_validation_error
25,21369,5.0,1.8832793,3.1167207,high_validation_error
57,3443,5.0,1.9015021,3.0984979,high_validation_error
26,3731,2.0,5.0490575,3.0490575,high_validation_error
42,11785,4.0,1.0100447,2.9899554,high_validation_error
5,21942,3.0,0.02712449,2.9728756,high_validation_error
5,8397,3.0,0.02712449,2.9728756,high_validation_error
52,1578,3.0,0.027398603,2.9726014,high_validation_error
19,21811,3.0,0.027724558,2.9722755,high_validation_error
45,13241,3.0,0.027875138,2.9721248,high_validation_error
35,10385,3.0,0.02924748,2.9707525,high_validation_error
41,7224,3.0,0.029400509,2.9705994,high_validation_error
18,19656,3.0,0.032795344,2.9672046,high_validation_error
57,21548,3.0,0.039106157,2.9608939,high_validation_error
12,17755,3.0,0.04850727,2.9514928,high_validation_error
25,1496,0.0,2.944886,2.944886,high_validation_error
25,9974,3.0,0.0572672,2.9427328,high_validation_error
26,5671,4.0,1.0723712,2.9276288,high_validation_error
44,16167,4.0,1.0869015,2.9130983,high_validation_error
31,4413,0.0,2.9019065,2.9019065,high_validation_error
42,12021,7.0,4.1066737,2.8933263,high_validation_error
